,apk_hash,base,global_centrality,local_centrality,data_driven,random
0,f4dfbe13348a777b7dfda173a1479fb3,18,6,8,8,7.1
1,c95e33386122d3f1c14f3c066e7755c6,9,6,6,6,6.0
2,def1b63c73c7f8f3ce8e07f2d50380ac,6,4,4,4,4.0
3,7041af61162329c4e2022d82939a2d2d,18,6,8,8,6.94
4,d29ecf6dd7e575f0312fec13c621523d,8,2,2,2,2.0
5,4fdfaeb0ec7b403bd88f8d254fa83930,51,31,25,25,27.94
6,f2daeb7e6ad071cece246322d1ce0e14,8,2,2,2,2.0
7,30ada0de7953ad3fc4a42d78b28ae196,6,4,4,4,4.0
8,82fb6f6893db38d49c0031089a8b3a5d,23,10,12,17,12.67
9,8bb502db26dac5fe949cfba9cb912322,442,135,128,128,131.29
10,d5232a3930bc8dcdbcade8ea17a08730,8,2,2,2,2.0
11,8dced227b0da6565d57c2d5ac45f73e2,9,4,4,4,4.0
12,90625366e6f68e33096b551cdbfb2d4b,4,4,4,4,4.0
13,cc0587d78135a870443daadd58954d61,18,6,8,8,7.06
14,c7afee947c9c019eec9da227b3fc4148,20,5,5,5,5.0
15,a3b9641477044183ca3077ee7b03dce5,9,6,6,6,6.0
16,c6a8084dd9a6a2c63a92f554e86ca65b,18,6,8,8,6.96
17,384002ff39b2c11fc64c472b3751c5d7,9,6,6,6,6.0
18,069dcf147cc362b3dc2e9c1eda1e30c6,8,2,2,2,2.0
19,92cd642d00e954e80519f22dd2c22fdb,6,3,4,4,3.6
20,e1fbf238df606559f9961e34103da291,8,2,2,2,2.0
21,17c4da1af1a1009b4b87ebd7d288dde9,6,4,4,4,4.0
22,89c9bb5301e5fbaeb054d0be0b389508,10,5,4,4,4.58
23,8f54f88b6ed9a18f44b7eb16157444d6,8,2,2,2,2.0
24,fce04d5525827a4de6fab83400811b00,106,40,24,24,33.12
25,9120c683a661eed008bd3bae0f6216d6,21,5,5,5,5.0
26,86f2527f0cd493a91889151140ba3d76,6,4,4,4,4.0
27,208d13a26d1eec265da861dbe8564660,2,2,2,2,2.0
28,74976d46aa7a7f44cdc8cdd3bae388ad,6,6,6,6,6.0
29,fe079a743fcfbba8504dcf5f51fbde83,4,4,4,4,4.0
30,5585a7c666ad31246391d2d756f32451,4,4,4,4,4.0
31,cce06d8907f9c95c9dd34aef38968439,8,2,2,2,2.0
32,17e24feab41b824f77d98347810e1b2f,36,16,16,16,16.0
33,014d8e731902a3540fe21350d4153de1,8,2,2,2,2.0
34,7685a8f15cd8c45ad30ce4e094db9514,9,6,6,6,6.0
35,c33e98132500613daceaba9e0c2b3bb0,336,160,160,160,160.0
36,ed93e582aeb9e9b9b4e22e12b51e8fc3,9,6,6,6,6.0
37,0aac1517c3dc3a45bdb5b2391037e17a,4,4,4,4,4.0
38,fcff5548c189142c7df17a3f47ede8b6,45,24,24,24,24.0
39,3134b5c1e1ad2cbd96c949167f9f1f2b,12,7,9,9,7.88
40,93499b95332cfe35cea1e9167aaa7c3f,51,31,25,25,27.34
